Segment,Field,Field_Name,Component,Component_Name,Subcomponent,Subcomponent_Name
PID,21,Mother's Identifier,10,Assigning Agency or Department,8,Alternate Coding System Version ID
PID,21,Mother's Identifier,10,Assigning Agency or Department,9,Original Text
PID,22,Ethnic Group,1,Identifier,,
PID,22,Ethnic Group,2,Text,,
PID,22,Ethnic Group,3,Name of Coding System,,
PID,22,Ethnic Group,4,Alternate Identifier,,
PID,22,Ethnic Group,5,Alternate Text,,
PID,22,Ethnic Group,6,Name of Alternate Coding System,,
PID,23,Birth Place,,,,
PID,24,Multiple Birth Indicator,,,,
PID,25,Birth Order,,,,
PID,26,Citizenship,1,Identifier,,
PID,26,Citizenship,2,Text,,
PID,26,Citizenship,3,Name of Coding System,,
PID,26,Citizenship,4,Alternate Identifier,,
PID,26,Citizenship,5,Alternate Text,,
PID,26,Citizenship,6,Name of Alternate Coding System,,
PID,27,Veterans Military Status,1,Identifier,,
PID,27,Veterans Military Status,2,Text,,
PID,27,Veterans Military Status,3,Name of Coding System,,
PID,27,Veterans Military Status,4,Alternate Identifier,,
PID,27,Veterans Military Status,5,Alternate Text,,
PID,27,Veterans Military Status,6,Name of Alternate Coding System,,
PID,28,Nationality,1,Identifier,,
PID,28,Nationality,2,Text,,
PID,28,Nationality,3,Name of Coding System,,
PID,28,Nationality,4,Alternate Identifier,,
PID,28,Nationality,5,Alternate Text,,
PID,28,Nationality,6,Name of Alternate Coding System,,
PID,29,Patient Death Date and Time,1,Time,,
PID,29,Patient Death Date and Time,2,Degree of Precision,,
PID,30,Patient Death Indicator,,,,
PID,31,Identity Unknown Indicator,,,,
PID,32,Identity Reliability Code,,,,
PID,33,Last Update Date/Time,1,Time,,
PID,33,Last Update Date/Time,2,Degree of Precision,,
PID,34,Last Update Facility,1,Namespace ID,,
PID,34,Last Update Facility,2,Universal ID,,
PID,34,Last Update Facility,3,Universal ID Type,,
PID,35,Species Code,1,Identifier,,
PID,35,Species Code,2,Text,,
PID,35,Species Code,3,Name of Coding System,,
PID,35,Species Code,4,Alternate Identifier,,
PID,35,Species Code,5,Alternate Text,,
PID,35,Species Code,6,Name of Alternate Coding System,,
PID,36,Breed Code,1,Identifier,,
PID,36,Breed Code,2,Text,,
PID,36,Breed Code,3,Name of Coding System,,
PID,36,Breed Code,4,Alternate Identifier,,
PID,36,Breed Code,5,Alternate Text,,
PID,36,Breed Code,6,Name of Alternate Coding System,,
PID,37,Strain,,,,
PID,38,Production Class Code,1,Identifier,,
PID,38,Production Class Code,2,Text,,
PID,38,Production Class Code,3,Name of Coding System,,
PID,38,Production Class Code,4,Alternate Identifier,,
PID,38,Production Class Code,5,Alternate Text,,
PID,38,Production Class Code,6,Name of Alternate Coding System,,
PID,39,Tribal Citizenship,1,Identifier,,
PID,39,Tribal Citizenship,2,Text,,
PID,39,Tribal Citizenship,3,Name of Coding System,,
PID,39,Tribal Citizenship,4,Alternate Identifier,,
PID,39,Tribal Citizenship,5,Alternate Text,,
PID,39,Tribal Citizenship,6,Name of Alternate Coding System,,
PID,39,Tribal Citizenship,7,Coding System Version ID,,
PID,39,Tribal Citizenship,8,Alternate Coding System Version ID,,
PID,39,Tribal Citizenship,9,Original Text,,
NK1,1,Set ID - NK1,,,,
NK1,2,Name,1,Family Name,1,Surname
NK1,2,Name,1,Family Name,2,Own Surname Prefix
NK1,2,Name,1,Family Name,3,Own Surname
NK1,2,Name,1,Family Name,4,Surname Prefix From Partner/Spouse
NK1,2,Name,1,Family Name,5,Surname From Partner/Spouse
NK1,2,Name,2,Given Name,,
NK1,2,Name,3,Second and Further Given Names or Initials Thereof,,
NK1,2,Name,4,"Suffix (e.g., JR or III)",,
NK1,2,Name,5,"Prefix (e.g., DR)",,
NK1,2,Name,6,"Degree (e.g., MD)",,
NK1,2,Name,7,Name Type Code,,
NK1,2,Name,8,Name Representation Code,,
NK1,2,Name,9,Name Context,1,Identifier
NK1,2,Name,9,Name Context,2,Text
NK1,2,Name,9,Name Context,3,Name of Coding System
NK1,2,Name,9,Name Context,4,Alternate Identifier
NK1,2,Name,9,Name Context,5,Alternate Text
NK1,2,Name,9,Name Context,6,Name of Alternate Coding System
NK1,2,Name,10,Name Validity Range,1,Range Start Date/Time: Time
NK1,2,Name,10,Name Validity Range,2,Range Start Date/Time: Degree of Precision
NK1,2,Name,10,Name Validity Range,3,Range End Date/Time: Time
NK1,2,Name,10,Name Validity Range,4,Range End Date/Time: Degree of Precision
NK1,2,Name,11,Name Assembly Order,,
NK1,2,Name,12,Effective Date,1,Time
NK1,2,Name,12,Effective Date,2,Degree of Precision
NK1,2,Name,13,Expiration Date,1,Time
NK1,2,Name,13,Expiration Date,2,Degree of Precision
NK1,2,Name,14,Professional Suffix,,
NK1,3,Relationship,1,Identifier,,
NK1,3,Relationship,2,Text,,
NK1,3,Relationship,3,Name of Coding System,,
NK1,3,Relationship,4,Alternate Identifier,,
NK1,3,Relationship,5,Alternate Text,,
NK1,3,Relationship,6,Name of Alternate Coding System,,
NK1,4,Address,1,Street Address,1,Street or Mailing Address
NK1,4,Address,1,Street Address,2,Street Name
NK1,4,Address,1,Street Address,3,Dwelling Number
NK1,4,Address,2,Other Designation,,
NK1,4,Address,3,City,,
NK1,4,Address,4,State or Province,,
NK1,4,Address,5,Zip or Postal Code,,
NK1,4,Address,6,Country Code,,
NK1,4,Address,7,Address Type,,
NK1,4,Address,8,Other Geographic Designation,,
NK1,4,Address,9,County/Parish Code,,
NK1,4,Address,10,Census Tract,,
NK1,4,Address,11,Address Representation Code,,
NK1,4,Address,12,Address Validity Range,1,Range Start Date/Time: Time
NK1,4,Address,12,Address Validity Range,2,Range Start Date/Time: Degree of Precision
NK1,4,Address,12,Address Validity Range,3,Range End Date/Time: Time
NK1,4,Address,12,Address Validity Range,4,Range End Date/Time: Degree of Precision
NK1,4,Address,13,Effective Date,1,Time
NK1,4,Address,13,Effective Date,2,Degree of Precision
NK1,4,Address,14,Expiration Date,1,Time
NK1,4,Address,14,Expiration Date,2,Degree of Precision
NK1,5,Phone Number,1,Telephone Number,,
NK1,5,Phone Number,2,Telecommunication Use Code,,
NK1,5,Phone Number,3,Telecommunication Equipment Type,,
NK1,5,Phone Number,4,Email Address,,
NK1,5,Phone Number,5,Country Code,,
NK1,5,Phone Number,6,Area/City Code,,
NK1,5,Phone Number,7,Local Number,,
NK1,5,Phone Number,8,Extension,,
NK1,5,Phone Number,9,Any Text,,
NK1,5,Phone Number,10,Extension Prefix,,
NK1,5,Phone Number,11,Speed Dial Code,,
NK1,5,Phone Number,12,Unformatted Telephone Number,,
NK1,6,Business Phone Number,1,Telephone Number,,
NK1,6,Business Phone Number,2,Telecommunication Use Code,,
NK1,6,Business Phone Number,3,Telecommunication Equipment Type,,
NK1,6,Business Phone Number,4,Email Address,,
NK1,6,Business Phone Number,5,Country Code,,
NK1,6,Business Phone Number,6,Area/City Code,,
NK1,6,Business Phone Number,7,Local Number,,
NK1,6,Business Phone Number,8,Extension,,
NK1,6,Business Phone Number,9,Any Text,,
NK1,6,Business Phone Number,10,Extension Prefix,,
NK1,6,Business Phone Number,11,Speed Dial Code,,
NK1,6,Business Phone Number,12,Unformatted Telephone Number,,
NK1,7,Contact Role,1,Identifier,,
NK1,7,Contact Role,2,Text,,
NK1,7,Contact Role,3,Name of Coding System,,
NK1,7,Contact Role,4,Alternate Identifier,,
NK1,7,Contact Role,5,Alternate Text,,
NK1,7,Contact Role,6,Name of Alternate Coding System,,
NK1,8,Start Date,,,,
NK1,9,End Date,,,,
NK1,10,Next of Kin / Associated Parties Job Title,,,,
NK1,11,Next of Kin / Associated Parties Job Code/Class,1,Job Code,,
NK1,11,Next of Kin / Associated Parties Job Code/Class,2,Job Class,,
NK1,11,Next of Kin / Associated Parties Job Code/Class,3,Job Description Text,,
NK1,12,Next of Kin / Associated Parties Employee Number,1,ID Number,,
NK1,12,Next of Kin / Associated Parties Employee Number,2,Check Digit,,
NK1,12,Next of Kin / Associated Parties Employee Number,3,Check Digit Scheme,,
NK1,12,Next of Kin / Associated Parties Employee Number,4,Assigning Authority,1,Namespace ID
NK1,12,Next of Kin / Associated Parties Employee Number,4,Assigning Authority,2,Universal ID
NK1,12,Next of Kin / Associated Parties Employee Number,4,Assigning Authority,3,Universal ID Type
NK1,12,Next of Kin / Associated Parties Employee Number,5,Identifier Type Code,,
NK1,12,Next of Kin / Associated Parties Employee Number,6,Assigning Facility,1,Namespace ID
NK1,12,Next of Kin / Associated Parties Employee Number,6,Assigning Facility,2,Universal ID
NK1,12,Next of Kin / Associated Parties Employee Number,6,Assigning Facility,3,Universal ID Type
NK1,12,Next of Kin / Associated Parties Employee Number,7,Effective Date,,
NK1,12,Next of Kin / Associated Parties Employee Number,8,Expiration Date,,
NK1,12,Next of Kin / Associated Parties Employee Number,9,Assigning Jurisdiction,1,Identifier
NK1,12,Next of Kin / Associated Parties Employee Number,9,Assigning Jurisdiction,2,Text
NK1,12,Next of Kin / Associated Parties Employee Number,9,Assigning Jurisdiction,3,Name of Coding System
NK1,12,Next of Kin / Associated Parties Employee Number,9,Assigning Jurisdiction,4,Alternate Identifier
NK1,12,Next of Kin / Associated Parties Employee Number,9,Assigning Jurisdiction,5,Alternate Text
NK1,12,Next of Kin / Associated Parties Employee Number,9,Assigning Jurisdiction,6,Name of Alternate Coding System
NK1,12,Next of Kin / Associated Parties Employee Number,9,Assigning Jurisdiction,7,Coding System Version ID
NK1,12,Next of Kin / Associated Parties Employee Number,9,Assigning Jurisdiction,8,Alternate Coding System Version ID
NK1,12,Next of Kin / Associated Parties Employee Number,9,Assigning Jurisdiction,9,Original Text
NK1,12,Next of Kin / Associated Parties Employee Number,10,Assigning Agency or Department,1,Identifier
NK1,12,Next of Kin / Associated Parties Employee Number,10,Assigning Agency or Department,2,Text
NK1,12,Next of Kin / Associated Parties Employee Number,10,Assigning Agency or Department,3,Name of Coding System
NK1,12,Next of Kin / Associated Parties Employee Number,10,Assigning Agency or Department,4,Alternate Identifier
NK1,12,Next of Kin / Associated Parties Employee Number,10,Assigning Agency or Department,5,Alternate Text
NK1,12,Next of Kin / Associated Parties Employee Number,10,Assigning Agency or Department,6,Name of Alternate Coding System
NK1,12,Next of Kin / Associated Parties Employee Number,10,Assigning Agency or Department,7,Coding System Version ID
NK1,12,Next of Kin / Associated Parties Employee Number,10,Assigning Agency or Department,8,Alternate Coding System Version ID
NK1,12,Next of Kin / Associated Parties Employee Number,10,Assigning Agency or Department,9,Original Text
NK1,13,Organization Name - NK1,1,Organization Name,,
NK1,13,Organization Name - NK1,2,Organization Name Type Code,,
NK1,13,Organization Name - NK1,3,ID Number,,
NK1,13,Organization Name - NK1,4,Check Digit,,
NK1,13,Organization Name - NK1,5,Check Digit Scheme,,
NK1,13,Organization Name - NK1,6,Assigning Authority,1,Namespace ID
NK1,13,Organization Name - NK1,6,Assigning Authority,2,Universal ID
NK1,13,Organization Name - NK1,6,Assigning Authority,3,Universal ID Type
NK1,13,Organization Name - NK1,7,Identifier Type Code,,
NK1,13,Organization Name - NK1,8,Assigning Facility,1,Namespace ID
NK1,13,Organization Name - NK1,8,Assigning Facility,2,Universal ID
NK1,13,Organization Name - NK1,8,Assigning Facility,3,Universal ID Type
NK1,13,Organization Name - NK1,9,Name Representation Code,,
NK1,13,Organization Name - NK1,10,Organization Identifier,,
NK1,14,Marital Status,1,Identifier,,
NK1,14,Marital Status,2,Text,,
NK1,14,Marital Status,3,Name of Coding System,,
NK1,14,Marital Status,4,Alternate Identifier,,
NK1,14,Marital Status,5,Alternate Text,,
NK1,14,Marital Status,6,Name of Alternate Coding System,,
NK1,15,Administrative Sex,,,,
NK1,16,Date/Time of Birth,1,Time,,
NK1,16,Date/Time of Birth,2,Degree of Precision,,
NK1,17,Living Dependency,,,,
NK1,18,Ambulatory Status,,,,
NK1,19,Citizenship,1,Identifier,,
NK1,19,Citizenship,2,Text,,
NK1,19,Citizenship,3,Name of Coding System,,
NK1,19,Citizenship,4,Alternate Identifier,,
NK1,19,Citizenship,5,Alternate Text,,
NK1,19,Citizenship,6,Name of Alternate Coding System,,
NK1,20,Primary Language,1,Identifier,,
NK1,20,Primary Language,2,Text,,
NK1,20,Primary Language,3,Name of Coding System,,
NK1,20,Primary Language,4,Alternate Identifier,,
NK1,20,Primary Language,5,Alternate Text,,
NK1,20,Primary Language,6,Name of Alternate Coding System,,
NK1,21,Living Arrangement,,,,
NK1,22,Publicity Code,1,Identifier,,
NK1,22,Publicity Code,2,Text,,
NK1,22,Publicity Code,3,Name of Coding System,,
NK1,22,Publicity Code,4,Alternate Identifier,,
NK1,22,Publicity Code,5,Alternate Text,,
NK1,22,Publicity Code,6,Name of Alternate Coding System,,
NK1,23,Protection Indicator,,,,
NK1,24,Student Indicator,,,,
NK1,25,Religion,1,Identifier,,
NK1,25,Religion,2,Text,,
NK1,25,Religion,3,Name of Coding System,,
NK1,25,Religion,4,Alternate Identifier,,
NK1,25,Religion,5,Alternate Text,,
NK1,25,Religion,6,Name of Alternate Coding System,,
NK1,26,Mother's Maiden Name,1,Family Name,1,Surname
NK1,26,Mother's Maiden Name,1,Family Name,2,Own Surname Prefix
NK1,26,Mother's Maiden Name,1,Family Name,3,Own Surname
NK1,26,Mother's Maiden Name,1,Family Name,4,Surname Prefix From Partner/Spouse
NK1,26,Mother's Maiden Name,1,Family Name,5,Surname From Partner/Spouse
NK1,26,Mother's Maiden Name,2,Given Name,,
NK1,26,Mother's Maiden Name,3,Second and Further Given Names or Initials Thereof,,
NK1,26,Mother's Maiden Name,4,"Suffix (e.g., JR or III)",,
NK1,26,Mother's Maiden Name,5,"Prefix (e.g., DR)",,
NK1,26,Mother's Maiden Name,6,"Degree (e.g., MD)",,
NK1,26,Mother's Maiden Name,7,Name Type Code,,
NK1,26,Mother's Maiden Name,8,Name Representation Code,,
NK1,26,Mother's Maiden Name,9,Name Context,1,Identifier
NK1,26,Mother's Maiden Name,9,Name Context,2,Text
NK1,26,Mother's Maiden Name,9,Name Context,3,Name of Coding System
NK1,26,Mother's Maiden Name,9,Name Context,4,Alternate Identifier
NK1,26,Mother's Maiden Name,9,Name Context,5,Alternate Text
NK1,26,Mother's Maiden Name,9,Name Context,6,Name of Alternate Coding System
NK1,26,Mother's Maiden Name,10,Name Validity Range,1,Range Start Date/Time: Time
NK1,26,Mother's Maiden Name,10,Name Validity Range,2,Range Start Date/Time: Degree of Precision
NK1,26,Mother's Maiden Name,10,Name Validity Range,3,Range End Date/Time: Time
NK1,26,Mother's Maiden Name,10,Name Validity Range,4,Range End Date/Time: Degree of Precision
NK1,26,Mother's Maiden Name,11,Name Assembly Order,,
NK1,26,Mother's Maiden Name,12,Effective Date,1,Time
NK1,26,Mother's Maiden Name,12,Effective Date,2,Degree of Precision
NK1,26,Mother's Maiden Name,13,Expiration Date,1,Time
NK1,26,Mother's Maiden Name,13,Expiration Date,2,Degree of Precision
NK1,26,Mother's Maiden Name,14,Professional Suffix,,
NK1,27,Nationality,1,Identifier,,
NK1,27,Nationality,2,Text,,
NK1,27,Nationality,3,Name of Coding System,,
NK1,27,Nationality,4,Alternate Identifier,,
NK1,27,Nationality,5,Alternate Text,,
NK1,27,Nationality,6,Name of Alternate Coding System,,
NK1,28,Ethnic Group,1,Identifier,,
NK1,28,Ethnic Group,2,Text,,
NK1,28,Ethnic Group,3,Name of Coding System,,
NK1,28,Ethnic Group,4,Alternate Identifier,,
NK1,28,Ethnic Group,5,Alternate Text,,
NK1,28,Ethnic Group,6,Name of Alternate Coding System,,
NK1,29,Contact Reason,1,Identifier,,
NK1,29,Contact Reason,2,Text,,
NK1,29,Contact Reason,3,Name of Coding System,,
NK1,29,Contact Reason,4,Alternate Identifier,,
NK1,29,Contact Reason,5,Alternate Text,,
NK1,29,Contact Reason,6,Name of Alternate Coding System,,
NK1,30,Contact Person's Name,1,Family Name,1,Surname
NK1,30,Contact Person's Name,1,Family Name,2,Own Surname Prefix
NK1,30,Contact Person's Name,1,Family Name,3,Own Surname
NK1,30,Contact Person's Name,1,Family Name,4,Surname Prefix From Partner/Spouse
NK1,30,Contact Person's Name,1,Family Name,5,Surname From Partner/Spouse
NK1,30,Contact Person's Name,2,Given Name,,
NK1,30,Contact Person's Name,3,Second and Further Given Names or Initials Thereof,,
NK1,30,Contact Person's Name,4,"Suffix (e.g., JR or III)",,
NK1,30,Contact Person's Name,5,"Prefix (e.g., DR)",,
NK1,30,Contact Person's Name,6,"Degree (e.g., MD)",,
NK1,30,Contact Person's Name,7,Name Type Code,,
NK1,30,Contact Person's Name,8,Name Representation Code,,
NK1,30,Contact Person's Name,9,Name Context,1,Identifier
NK1,30,Contact Person's Name,9,Name Context,2,Text
NK1,30,Contact Person's Name,9,Name Context,3,Name of Coding System
NK1,30,Contact Person's Name,9,Name Context,4,Alternate Identifier
NK1,30,Contact Person's Name,9,Name Context,5,Alternate Text
NK1,30,Contact Person's Name,9,Name Context,6,Name of Alternate Coding System
NK1,30,Contact Person's Name,10,Name Validity Range,1,Range Start Date/Time: Time
NK1,30,Contact Person's Name,10,Name Validity Range,2,Range Start Date/Time: Degree of Precision
NK1,30,Contact Person's Name,10,Name Validity Range,3,Range End Date/Time: Time
NK1,30,Contact Person's Name,10,Name Validity Range,4,Range End Date/Time: Degree of Precision
NK1,30,Contact Person's Name,11,Name Assembly Order,,
NK1,30,Contact Person's Name,12,Effective Date,1,Time
NK1,30,Contact Person's Name,12,Effective Date,2,Degree of Precision
NK1,30,Contact Person's Name,13,Expiration Date,1,Time
NK1,30,Contact Person's Name,13,Expiration Date,2,Degree of Precision
NK1,30,Contact Person's Name,14,Professional Suffix,,
NK1,31,Contact Person's Telephone Number,1,Telephone Number,,
NK1,31,Contact Person's Telephone Number,2,Telecommunication Use Code,,
NK1,31,Contact Person's Telephone Number,3,Telecommunication Equipment Type,,
NK1,31,Contact Person's Telephone Number,4,Email Address,,
NK1,31,Contact Person's Telephone Number,5,Country Code,,
NK1,31,Contact Person's Telephone Number,6,Area/City Code,,
NK1,31,Contact Person's Telephone Number,7,Local Number,,
NK1,31,Contact Person's Telephone Number,8,Extension,,
NK1,31,Contact Person's Telephone Number,9,Any Text,,
NK1,31,Contact Person's Telephone Number,10,Extension Prefix,,
NK1,31,Contact Person's Telephone Number,11,Speed Dial Code,,
NK1,31,Contact Person's Telephone Number,12,Unformatted Telephone Number,,
NK1,32,Contact Person's Address,1,Street Address,1,Street or Mailing Address
NK1,32,Contact Person's Address,1,Street Address,2,Street Name
NK1,32,Contact Person's Address,1,Street Address,3,Dwelling Number
NK1,32,Contact Person's Address,2,Other Designation,,
NK1,32,Contact Person's Address,3,City,,
NK1,32,Contact Person's Address,4,State or Province,,
NK1,32,Contact Person's Address,5,Zip or Postal Code,,
NK1,32,Contact Person's Address,6,Country Code,,
NK1,32,Contact Person's Address,7,Address Type,,
NK1,32,Contact Person's Address,8,Other Geographic Designation,,
NK1,32,Contact Person's Address,9,County/Parish Code,,
NK1,32,Contact Person's Address,10,Census Tract,,
NK1,32,Contact Person's Address,11,Address Representation Code,,
NK1,32,Contact Person's Address,12,Address Validity Range,1,Range Start Date/Time: Time
NK1,32,Contact Person's Address,12,Address Validity Range,2,Range Start Date/Time: Degree of Precision
NK1,32,Contact Person's Address,12,Address Validity Range,3,Range End Date/Time: Time
NK1,32,Contact Person's Address,12,Address Validity Range,4,Range End Date/Time: Degree of Precision
NK1,32,Contact Person's Address,13,Effective Date,1,Time
NK1,32,Contact Person's Address,13,Effective Date,2,Degree of Precision
NK1,32,Contact Person's Address,14,Expiration Date,1,Time
NK1,32,Contact Person's Address,14,Expiration Date,2,Degree of Precision
NK1,33,Next of Kin/Associated Party's Identifiers,1,ID Number,,
NK1,33,Next of Kin/Associated Party's Identifiers,2,Check Digit,,
NK1,33,Next of Kin/Associated Party's Identifiers,3,Check Digit Scheme,,
NK1,33,Next of Kin/Associated Party's Identifiers,4,Assigning Authority,1,Namespace ID
NK1,33,Next of Kin/Associated Party's Identifiers,4,Assigning Authority,2,Universal ID
NK1,33,Next of Kin/Associated Party's Identifiers,4,Assigning Authority,3,Universal ID Type
NK1,33,Next of Kin/Associated Party's Identifiers,5,Identifier Type Code,,
NK1,33,Next of Kin/Associated Party's Identifiers,6,Assigning Facility,1,Namespace ID
NK1,33,Next of Kin/Associated Party's Identifiers,6,Assigning Facility,2,Universal ID
NK1,33,Next of Kin/Associated Party's Identifiers,6,Assigning Facility,3,Universal ID Type
NK1,33,Next of Kin/Associated Party's Identifiers,7,Effective Date,,
NK1,33,Next of Kin/Associated Party's Identifiers,8,Expiration Date,,
NK1,33,Next of Kin/Associated Party's Identifiers,9,Assigning Jurisdiction,1,Identifier
NK1,33,Next of Kin/Associated Party's Identifiers,9,Assigning Jurisdiction,2,Text
NK1,33,Next of Kin/Associated Party's Identifiers,9,Assigning Jurisdiction,3,Name of Coding System
NK1,33,Next of Kin/Associated Party's Identifiers,9,Assigning Jurisdiction,4,Alternate Identifier
NK1,33,Next of Kin/Associated Party's Identifiers,9,Assigning Jurisdiction,5,Alternate Text
NK1,33,Next of Kin/Associated Party's Identifiers,9,Assigning Jurisdiction,6,Name of Alternate Coding System
NK1,33,Next of Kin/Associated Party's Identifiers,9,Assigning Jurisdiction,7,Coding System Version ID
NK1,33,Next of Kin/Associated Party's Identifiers,9,Assigning Jurisdiction,8,Alternate Coding System Version ID
NK1,33,Next of Kin/Associated Party's Identifiers,9,Assigning Jurisdiction,9,Original Text
NK1,33,Next of Kin/Associated Party's Identifiers,10,Assigning Agency or Department,1,Identifier
NK1,33,Next of Kin/Associated Party's Identifiers,10,Assigning Agency or Department,2,Text
NK1,33,Next of Kin/Associated Party's Identifiers,10,Assigning Agency or Department,3,Name of Coding System
NK1,33,Next of Kin/Associated Party's Identifiers,10,Assigning Agency or Department,4,Alternate Identifier
NK1,33,Next of Kin/Associated Party's Identifiers,10,Assigning Agency or Department,5,Alternate Text
NK1,33,Next of Kin/Associated Party's Identifiers,10,Assigning Agency or Department,6,Name of Alternate Coding System
NK1,33,Next of Kin/Associated Party's Identifiers,10,Assigning Agency or Department,7,Coding System Version ID
NK1,33,Next of Kin/Associated Party's Identifiers,10,Assigning Agency or Department,8,Alternate Coding System Version ID
NK1,33,Next of Kin/Associated Party's Identifiers,10,Assigning Agency or Department,9,Original Text
NK1,34,Job Status,,,,
NK1,35,Race,1,Identifier,,
NK1,35,Race,2,Text,,
NK1,35,Race,3,Name of Coding System,,
NK1,35,Race,4,Alternate Identifier,,
NK1,35,Race,5,Alternate Text,,
NK1,35,Race,6,Name of Alternate Coding System,,
NK1,36,Handicap,,,,
NK1,37,Contact Person Social Security Number,,,,
NK1,38,Next of Kin Birth Place,,,,
NK1,39,VIP Indicator,,,,
OBR,1,Set ID - OBR,,,,
OBR,2,Placer Order Number,1,Entity Identifier,,
OBR,2,Placer Order Number,2,Namespace ID,,
OBR,2,Placer Order Number,3,Universal ID,,
OBR,2,Placer Order Number,4,Universal ID Type,,
OBR,3,Filler Order Number,1,Entity Identifier,,
OBR,3,Filler Order Number,2,Namespace ID,,
OBR,3,Filler Order Number,3,Universal ID,,
OBR,3,Filler Order Number,4,Universal ID Type,,
OBR,4,Universal Service Identifier,1,Identifier,,
OBR,4,Universal Service Identifier,2,Text,,
OBR,4,Universal Service Identifier,3,Name of Coding System,,
OBR,4,Universal Service Identifier,4,Alternate Identifier,,
OBR,4,Universal Service Identifier,5,Alternate Text,,
OBR,4,Universal Service Identifier,6,Name of Alternate Coding System,,
OBR,5,Priority - OBR,,,,
OBR,6,Requested Date/Time,1,Time,,
OBR,6,Requested Date/Time,2,Degree of Precision,,
OBR,7,Observation Date/Time,1,Time,,
OBR,7,Observation Date/Time,2,Degree of Precision,,
OBR,8,Observation End Date/Time,1,Time,,
OBR,8,Observation End Date/Time,2,Degree of Precision,,
OBR,9,Collection Volume,1,Quantity,,
OBR,9,Collection Volume,2,Units,1,Identifier
OBR,9,Collection Volume,2,Units,2,Text
OBR,9,Collection Volume,2,Units,3,Name of Coding System
OBR,9,Collection Volume,2,Units,4,Alternate Identifier
OBR,9,Collection Volume,2,Units,5,Alternate Text
OBR,9,Collection Volume,2,Units,6,Name of Alternate Coding System
OBR,10,Collector Identifier,1,ID Number,,
OBR,10,Collector Identifier,2,Family Name,1,Surname
OBR,10,Collector Identifier,2,Family Name,2,Own Surname Prefix
OBR,10,Collector Identifier,2,Family Name,3,Own Surname
OBR,10,Collector Identifier,2,Family Name,4,Surname Prefix From Partner/Spouse
OBR,10,Collector Identifier,2,Family Name,5,Surname From Partner/Spouse
OBR,10,Collector Identifier,3,Given Name,,
OBR,10,Collector Identifier,4,Second and Further Given Names or Initials Thereof,,
OBR,10,Collector Identifier,5,"Suffix (e.g., JR or III)",,
OBR,10,Collector Identifier,6,"Prefix (e.g., DR)",,
OBR,10,Collector Identifier,7,"Degree (e.g., MD)",,
OBR,10,Collector Identifier,8,Source Table,,
OBR,10,Collector Identifier,9,Assigning Authority,1,Namespace ID
OBR,10,Collector Identifier,9,Assigning Authority,2,Universal ID
OBR,10,Collector Identifier,9,Assigning Authority,3,Universal ID Type
OBR,10,Collector Identifier,10,Name Type Code,,
OBR,10,Collector Identifier,11,Identifier Check Digit,,
OBR,10,Collector Identifier,12,Check Digit Scheme,,
OBR,10,Collector Identifier,13,Identifier Type Code,,
OBR,10,Collector Identifier,14,Assigning Facility,1,Namespace ID
OBR,10,Collector Identifier,14,Assigning Facility,2,Universal ID
OBR,10,Collector Identifier,14,Assigning Facility,3,Universal ID Type
OBR,10,Collector Identifier,15,Name Representation Code,,
OBR,10,Collector Identifier,16,Name Context,1,Identifier
OBR,10,Collector Identifier,16,Name Context,2,Text
OBR,10,Collector Identifier,16,Name Context,3,Name of Coding System
OBR,10,Collector Identifier,16,Name Context,4,Alternate Identifier
OBR,10,Collector Identifier,16,Name Context,5,Alternate Text
OBR,10,Collector Identifier,16,Name Context,6,Name of Alternate Coding System
OBR,10,Collector Identifier,17,Name Validity Range,1,Range Start Date/Time: Time
OBR,10,Collector Identifier,17,Name Validity Range,2,Range Start Date/Time: Degree of Precision
OBR,10,Collector Identifier,17,Name Validity Range,3,Range End Date/Time: Time
OBR,10,Collector Identifier,17,Name Validity Range,4,Range End Date/Time: Degree of Precision
OBR,10,Collector Identifier,18,Name Assembly Order,,
OBR,10,Collector Identifier,19,Effective Date,1,Time
OBR,10,Collector Identifier,19,Effective Date,2,Degree of Precision
OBR,10,Collector Identifier,20,Expiration Date,1,Time
OBR,10,Collector Identifier,20,Expiration Date,2,Degree of Precision
OBR,10,Collector Identifier,21,Professional Suffix,,
OBR,10,Collector Identifier,22,Assigning Jurisdiction,1,Identifier
OBR,10,Collector Identifier,22,Assigning Jurisdiction,2,Text
OBR,10,Collector Identifier,22,Assigning Jurisdiction,3,Name of Coding System
OBR,10,Collector Identifier,22,Assigning Jurisdiction,4,Alternate Identifier
OBR,10,Collector Identifier,22,Assigning Jurisdiction,5,Alternate Text
OBR,10,Collector Identifier,22,Assigning Jurisdiction,6,Name of Alternate Coding System
OBR,10,Collector Identifier,22,Assigning Jurisdiction,7,Coding System Version ID
OBR,10,Collector Identifier,22,Assigning Jurisdiction,8,Alternate Coding System Version ID
OBR,10,Collector Identifier,22,Assigning Jurisdiction,9,Original Text
OBR,10,Collector Identifier,23,Assigning Agency or Department,1,Identifier
OBR,10,Collector Identifier,23,Assigning Agency or Department,2,Text
OBR,10,Collector Identifier,23,Assigning Agency or Department,3,Name of Coding System
OBR,10,Collector Identifier,23,Assigning Agency or Department,4,Alternate Identifier
OBR,10,Collector Identifier,23,Assigning Agency or Department,5,Alternate Text
OBR,10,Collector Identifier,23,Assigning Agency or Department,6,Name of Alternate Coding System
